id,username,passwordHash,email,gender,role,designationId,phoneNumber,createdAt,updatedAt
110,James Miller,$2b$10$RkfsgQ1K9XP0/grmdiSu0.VMkWchS6soeg7GARyLuMiMXdMRfnfdu,laurahoward109@mgcrew.com,Female,employee,5.0,682-341-1484,2023-07-01 22:53:56,2024-02-23 10:45:16
111,Jason Dixon,$2b$10$ykFk5funfE50Q6xk9UXqweyogSLLLdMShR.a.gkp.WF/niDfwDLVO,bpennington110@mgcrew.com,Female,employee,6.0,(460)842-9267,2023-01-03 21:07:50,2023-03-14 17:44:41
112,Kelsey Stokes,$2b$10$7qTnQQ3JAgJL7cCYAGgZdeXJmFsOTIZkNnc8j8xxEfNebi7zhNkwG,kristy60111@mgcrew.com,Female,employee,1.0,920.248.0121,2023-01-24 18:39:23,2023-12-07 11:39:22
113,Samuel Hoffman,$2b$10$AfmpUS3ZpdVz7hWwAA9L0ORqp6knkvQle9c5Sn8g2FVKGm2G674Gq,pittmancatherine112@mgcrew.com,Male,employee,6.0,450.549.8324x444,2024-04-17 08:51:00,2024-06-07 05:40:13
114,Heidi Garcia,$2b$10$uSEc2w2Waoh0G1otwtHOoeVavdhnDoMz8RdDZCAZ3yuVGArIeZZq2,shannon58113@mgcrew.com,Female,employee,8.0,(435)900-6531,2023-06-14 03:36:47,2023-09-11 23:02:11
115,Andrea Price,$2b$10$geHL4xlAEBTUEEyGnqxXxOYMENZHjCY8g334RP3pjb941M0roM0CK,gina49114@mgcrew.com,Female,employee,4.0,+1-615-640-8427,2022-12-24 12:38:08,2023-12-04 19:58:22
116,Jamie Steele,$2b$10$fF9UcF5avyb2.SnheVdp7uMUZOj85HgPEM5ExmD9/cfVEH6sHbnw6,nguyenbrianna115@mgcrew.com,Female,employee,8.0,876-242-8280x76370,2024-07-29 20:14:47,2024-10-01 23:36:30
117,Peter Holder,$2b$10$VQd.PBTP5GU.xqhXBjixV.7xPbJegzWngHyaHYlwhmloY0ZnM2z9m,baueramy116@mgcrew.com,Others,employee,3.0,214.316.3659x446,2023-08-11 11:34:01,2024-07-19 17:21:23
118,Elizabeth Watson,$2b$10$BDE9Zagn2paZdto0v3uZZOqD1l1POhqJxuLzBkwoxLzDIXdkD6One,ericbrown117@mgcrew.com,Female,employee,5.0,001-950-304-1449x330,2023-12-05 14:42:49,2024-03-20 11:14:01
119,Vanessa Ferrell,$2b$10$YJ6I/DbIWUT8jsv28.deSeY9K8UC1e22UIjT/LPJUFDy/8o1in5Gy,jsmith118@mgcrew.com,Others,employee,6.0,266-440-8630x4223,2022-08-01 06:27:04,2023-10-31 21:36:29
120,Carl Williams,$2b$10$CP7LBXs4bw4yr20WqxwrvOLKjUJUf0E6zEjpeMWxtUcSeLA9pYo9S,kayla33119@mgcrew.com,Others,employee,4.0,7479594185,2023-04-30 14:59:00,2024-03-01 08:07:59
121,Billy Mcbride,$2b$10$nvdv58bW5ywIpjES6CdYv.8wsKyQO2aBi3dIrj0Rj2bH9PhkTMRi6,ymoore120@mgcrew.com,Female,employee,6.0,(253)891-3094,2024-10-05 10:49:19,2024-10-06 16:24:54
122,Timothy Conley,$2b$10$/LOZR5psGNLsV5fjd0cRCerQHiWoZ6xfvr/RYgOI9Afv6bE7zAMwC,jon84121@mgcrew.com,Female,employee,1.0,598-635-6488x3321,2023-01-19 15:58:00,2024-02-28 21:25:18
123,Casey Bird,$2b$10$CIA.UfX12EQF4CVfut8AIOIAm5.74XWy3u0aR3OffBFXdKAntNQa.,harveyjennifer122@mgcrew.com,Female,employee,7.0,812-939-1016,2022-09-12 17:44:51,2022-10-24 11:57:19
124,Brandon Thompson,$2b$10$wst0mhwSgPE6.ZYcqtxX/.hTNaJQ85ytFi4euzX2ouEvY7MN7kGEW,srichardson123@mgcrew.com,Female,employee,3.0,(409)802-5587x046,2023-06-11 21:12:30,2024-04-17 10:38:12
125,John Humphrey,$2b$10$c.IrR4.maTh4ML3g7RWdx.Q1sZDg5cBUAhsuiFH0BD1j5JwgRFIyq,rachel73124@mgcrew.com,Male,employee,2.0,+1-670-761-7329x381,2023-02-04 04:40:42,2024-03-01 19:56:46
126,Joshua Sosa,$2b$10$BoxuERCyJeSnb15lDCV2dugJwApfOkCemlnYltpcbXuDRpGBleoXm,paul90125@mgcrew.com,Male,employee,4.0,+1-990-211-9564x0989,2022-06-06 04:30:22,2023-03-11 13:05:27
127,Marissa Huang,$2b$10$gdyI8tEMdeebQULa9Xm.AeFPYvoWTGbN2d8vx4Fvt/2DSjhJl.lhO,jonathanjohnson126@mgcrew.com,Male,employee,6.0,296-757-8837x597,2023-01-09 01:10:46,2023-11-29 02:36:24
128,James Webb,$2b$10$RH0qQuKdjWDs5o.BvP5nZev01CqlDoOO3YDMNaunuWQundeQvHXha,alex94127@mgcrew.com,Others,employee,8.0,456.331.3692x84395,2023-06-14 17:12:39,2024-03-30 21:03:20
129,Stephanie Ruiz,$2b$10$tMRa4Vn/3Z0tAzlx5vdIZeBUxOfdLGYHqleTKhDq4nM5YfVGnGmQ2,ericfrancis128@mgcrew.com,Female,employee,8.0,810-494-5389x1872,2022-08-20 03:38:36,2022-09-04 14:58:13
130,Robert Pearson,$2b$10$KnCX/XECSyeHYu1vtjXU7O9OtEjzITExH3i9N0IGt2qubn5S7WMhW,townsendrobert129@mgcrew.com,Male,employee,6.0,560-951-2217x32519,2023-08-15 06:16:38,2024-04-13 10:56:29
131,Debra Tyler,$2b$10$guXC2NfKgu/PnOheVHQes.P.TY7TIdu4SmYVxCKaQN7GdHrzn96PS,ocoleman130@mgcrew.com,Male,employee,3.0,(560)331-9630,2023-02-05 01:30:47,2023-08-07 07:37:18
132,Laurie Jimenez,$2b$10$Dd1XmRrNwcolV3o8PhdmM.oQvyFZnrNjSgIx5biLoeXIq91IMt2Au,iyang131@mgcrew.com,Others,employee,2.0,7874314510,2023-03-13 05:38:29,2024-09-10 01:37:34
133,Brittney Bates,$2b$10$bKSCfXgLisypoZy7XeVPFuUyYSUdtAToU4DhbWM/5/caaeubVMkLm,xliu132@mgcrew.com,Male,employee,3.0,001-244-899-4511x837,2023-01-24 20:21:34,2024-05-17 09:56:41
134,Patricia Gill,$2b$10$5E9RwNT93PO2a3nX/C5..eYTnczwpbAZHoeUTVI/zwAmVCXlqxUMO,traciweaver133@mgcrew.com,Others,employee,4.0,533-827-1642x657,2023-01-20 03:26:26,2023-05-15 10:47:21
135,Mrs. Annette Hamilton,$2b$10$TtbnO2oQBA8QhXohwUW3uuaSJi/XihpK2Oyw5Wcu3yL078f7CbZEu,jhernandez134@mgcrew.com,Male,employee,6.0,886-403-6680x39851,2022-12-29 20:19:40,2023-05-17 16:39:35
136,Danny Garcia,$2b$10$k//TJjcgJ5MNtmkR3eWkNeSaECTLL3GqK6ROyNlivyi4Mnwilp7o.,anthonynewman135@mgcrew.com,Male,employee,5.0,438-766-8360x04645,2023-01-03 14:09:42,2024-04-24 22:18:05
137,Robert Fleming,$2b$10$1W.eOMJz/D/llNobOZ7m1emmNpLHfDN/eDr89wBbVGsFAm/Lpx1a2,jefferykennedy136@mgcrew.com,Others,employee,2.0,929.556.9569x47155,2024-03-06 23:47:25,2024-08-22 08:01:17
138,Erica Cook,$2b$10$rz0nIxbthhgoXg2reguq3e5eCGrQaTZVdvz2/F2SXakxBeD95tFCO,chelsea54137@mgcrew.com,Others,employee,7.0,+1-376-303-9236,2024-07-22 18:50:12,2024-08-24 14:05:33
139,Angel Sloan,$2b$10$.SB/F2qs3ak2HLjbJ.JrdOwIluhcRiyFOIOVdcw8cvaKv4QUwXcmW,varnold138@mgcrew.com,Female,employee,6.0,(639)703-7553x0792,2022-11-20 12:35:53,2024-08-05 16:34:09
140,Ashlee Gilmore,$2b$10$rELVTKhxI39kh6f4Cc8t0OaIZE59xhS6rYRYPy4/AjOeDinsuTPDW,nsantiago139@mgcrew.com,Female,employee,5.0,599.392.4140x8529,2024-08-21 20:56:09,2024-09-24 00:33:04
141,Holly George,$2b$10$uXC2qRjZnKTfqosBsmC58OAjDRkaZDCTLIlsdhI6DTWdvd3C0CjAy,rebeccajones140@mgcrew.com,Female,employee,6.0,474.935.8742,2023-11-16 15:34:31,2024-06-28 23:51:31
142,Jill Hamilton,$2b$10$7JCfgDKn7BPDi1jum6vXXeWuRlmr7fUlxu1RMxKfLleDsVVWquGSG,cholland141@mgcrew.com,Female,employee,5.0,001-566-314-0787x910,2024-01-26 05:01:32,2024-01-29 21:03:24
143,Linda James,$2b$10$b81u/1739dEHqpapx2h4g.IcE.BmrtzLmZVLWo9zzXf7miIWeQvk6,jeffreyduncan142@mgcrew.com,Others,employee,3.0,362.982.0005,2022-04-12 15:35:04,2023-03-02 10:56:25
144,Michael Mclean,$2b$10$Ydl.aetVIICzInIyBw1FhOcctSBWo7A9N8N9emAe4snsXYTARfbnC,xcampbell143@mgcrew.com,Others,employee,2.0,373.824.2712x029,2024-10-01 04:16:05,2024-10-04 04:03:53
145,Christopher David,$2b$10$Zt/js/sPPWpMUnkWBegryuk58ril/3GgAVFeSYIIdI5XghySBiQuO,ksingleton144@mgcrew.com,Others,employee,2.0,(422)465-0633x130,2023-09-28 23:37:33,2024-01-01 09:08:10
146,Alexander Craig,$2b$10$O8CiS1PvYMVBrL9HJLYu6.psgAS58eU12QfgcvrZSM5XdZ8vIjGmu,trevorbryant145@mgcrew.com,Others,employee,3.0,507.208.7239x7608,2023-12-22 21:33:54,2024-03-02 13:55:35
147,Stephen Campbell,$2b$10$LvM5lZ9zn8Ep0sZcj7hkvuvRoTaggNTL0..2Y8xCiXmbjlkqgnkTi,lisa19146@mgcrew.com,Male,employee,7.0,001-211-936-7148x960,2023-02-10 19:11:16,2024-09-24 15:44:54
148,Terri Adkins,$2b$10$9Qrl2vlVPvzwIOhvtpfjBeLjMAUjaQ3CCX6LKbRUVoTAam7gpn2MW,cherylriggs147@mgcrew.com,Others,employee,2.0,+1-935-264-7599x8453,2023-10-25 03:35:26,2024-09-29 19:19:17
149,Juan Khan,$2b$10$NtzjqvsyI6Ma//JB1OBmEO.Jgt8Ba879WIC.3DCXFge6G9729e.wa,katherineperez148@mgcrew.com,Female,employee,7.0,(391)535-8835,2023-08-06 12:35:59,2024-08-23 08:17:10
150,David Briggs DDS,$2b$10$gCW7JdDLu95w4ghUSFfZ/.9BNDAa.fQIwuYQzjyLue8LqfdEx1ts6,sophia35149@mgcrew.com,Others,employee,3.0,331.763.9025x1129,2022-08-31 15:28:54,2022-10-01 16:45:23
151,Laura Dillon,$2b$10$UhwOlg4bi3nz6lvywDRwEOrC/McaxmUyd.y0WCoQ.BzcR2hNma89W,daniel17150@mgcrew.com,Female,employee,6.0,632-671-1529x1338,2023-09-22 19:36:08,2024-02-06 06:26:21
152,Andrew Mccullough,$2b$10$BjadzkUGsNiG/qugJ01eu.wVaNJV.kRdc54FlKMWHF/ZmVqTsUKOK,charlessmith151@mgcrew.com,Male,employee,7.0,308-937-6713,2023-07-15 20:48:27,2024-07-20 02:46:38
153,Zachary Johnson,$2b$10$EEckC/FhU4wgWgzeQ2miN.PQmH9U00hO/XY19MHm1bYnyhUah9uMy,jessica33152@mgcrew.com,Female,employee,8.0,(993)766-2336x28619,2024-03-30 00:50:30,2024-04-28 15:35:43
154,Lindsey Patrick,$2b$10$3uVbqVUmX2ElBPcgnaTx/.leauE8oQLgPX5Ss/aV36QrYctu4D5Su,smithkrystal153@mgcrew.com,Female,employee,4.0,+1-656-829-8804x4279,2022-09-09 06:02:15,2023-08-04 09:31:09
155,Shawn Powers,$2b$10$WE9RH1g974GmqnHTYS689OgRM2r2r/f6y/RSi.ZGAv4K4iQPDTTvC,stefanieschaefer154@mgcrew.com,Male,employee,8.0,311.851.4380x4856,2024-03-14 03:56:10,2024-03-21 10:19:52
156,Brenda Cohen,$2b$10$X5C55e1joQeqMHx3huSzCev1.6ynnwIYpPTS38CDV85PLs90gsPBO,karendurham155@mgcrew.com,Others,employee,3.0,488-544-2889,2022-11-22 19:49:44,2024-03-26 18:46:18
157,David White,$2b$10$hc6uIEX4mikCgzKbvntcAOnivzfFPlmFIEjpfAr6j.7ReoOJ590ne,williamjenkins156@mgcrew.com,Female,employee,5.0,+1-874-246-3997x464,2022-10-26 23:09:16,2023-03-04 01:48:56
158,Brian Williams,$2b$10$HqQViKy78apkJ1ry1PryAuf7QNimejSKO8sV.tpAvGKYE1RFZF6zy,bryan94157@mgcrew.com,Others,employee,2.0,4895562425,2023-11-23 17:13:18,2024-06-14 02:31:38
159,Emily Price,$2b$10$x2lypdK9RgGHIMksgK9f5.h4d7kNgJXI.m.6p4VKsbOZHCpTI9QKe,jamie61158@mgcrew.com,Male,employee,3.0,(852)404-2433,2023-10-19 20:54:08,2024-01-23 02:13:37
160,Brian Wheeler,$2b$10$wlfoshoCtgiZwPmIpKlOYe.ghtMEloc1gUkCCTREUNOoI5/Z/4azS,gutierrezjames159@mgcrew.com,Male,employee,5.0,925-529-8293x352,2022-06-26 07:06:10,2024-05-03 23:01:28
161,Barbara Franklin,$2b$10$QHtxGX2xUMYb3pheINx4EO0ek02vBjybjzEUcy3x1MDXDE87x6uxm,jamesscott160@mgcrew.com,Others,employee,2.0,(398)327-9915,2024-07-02 12:17:49,2024-08-16 17:33:19
162,Shelby Miller,$2b$10$hNhj/3aAmLVWl8NO9jLwzeT.ZbX0xsU69hDDa.6yN4Lnvi4sblZsa,ehunter161@mgcrew.com,Others,employee,2.0,4886265069,2024-07-18 22:26:08,2024-09-07 14:13:00
163,Alicia Ray,$2b$10$5I6uQ6qYAFL4ozFkHj/ekuUnh5S0.ysB0sm4rLlyQibwKY/2CwaMK,flynnpamela162@mgcrew.com,Others,employee,6.0,+1-943-306-0144x154,2022-09-03 10:44:19,2024-06-27 02:39:00
164,Corey Taylor,$2b$10$oLgUs0hcPDQcQFyBuRfPh.BMARBiHjCYZo7VRrUmdTFDpb8KjYQFC,osantana163@mgcrew.com,Male,employee,6.0,001-536-698-1276x010,2022-06-04 11:44:19,2023-09-16 21:08:51
165,Dana Bailey,$2b$10$CcwjPE2iNi/ctjcvNhu4j.CGVC0PtKbHNFBEVZ5UIvd9O3ZXyJEWi,susancain164@mgcrew.com,Others,employee,3.0,322.727.2427x66010,2022-12-09 20:18:04,2024-02-28 08:59:29
166,Ricardo Garcia,$2b$10$o3nhrEF22cV4rzwWoe4elu8pDg3EV4c1womZOj6sSoRNcrhgIcZb2,diane10165@mgcrew.com,Others,employee,7.0,235.947.1100,2022-06-12 09:04:11,2022-07-05 05:12:39
167,Cynthia Schmitt,$2b$10$Dj3XFW6CrdRBJXoE34xJnOeBAozNBKUNf9O6vCWOd0iz1k9x5DXbW,timothy60166@mgcrew.com,Male,employee,8.0,(634)947-2815x503,2023-05-06 02:01:35,2023-07-05 18:40:11
168,Joseph Bryant,$2b$10$qltBC4.4ZI9RXvl14hn9RurAfdqS70xoJ8J30PBQoA/6JOG.kEj9i,aanderson167@mgcrew.com,Others,employee,5.0,001-265-417-6997x923,2023-06-24 09:14:24,2023-11-20 03:43:13
169,Daniel Rowe,$2b$10$eZ5skqGNoGDoXjzluS2sEeBLjDJUuUSq.6GAzDiEXpwcMFjfwCk8u,paula30168@mgcrew.com,Others,employee,5.0,384.633.9910,2024-03-11 18:53:44,2024-07-19 06:10:37
170,Dr. Daniel Fowler MD,$2b$10$HJxCZ0s7FzjR2w1yei4Ah.ONeZJA8I4/NO62i5taeOWb.SwDzTexC,kharris169@mgcrew.com,Female,employee,6.0,(216)722-7103x641,2024-09-10 23:52:53,2024-09-11 23:43:59
171,Anthony Cooper,$2b$10$LJYEoI3b78JZra8UJdW3/u8bwsuCgea/mEJ5PLCK1dono4cPiQu/G,hvalentine170@mgcrew.com,Female,employee,7.0,816-702-6241x3360,2023-05-30 06:41:01,2024-03-13 00:37:39
172,Anthony Fisher,$2b$10$ERkkelUqfKYzSJIULGHun.QpD7piDqsh3wAROjUPbjzgu.4z61.MG,dawsonbryan171@mgcrew.com,Female,employee,1.0,929.369.0870,2024-08-24 01:26:30,2024-09-08 09:21:13
173,Paula Mcdaniel,$2b$10$yYKJONIyEkx1ODiLzgcNKeTzchKZkuQBX/HFORNskWfsLQ59IaYBO,crodriguez172@mgcrew.com,Others,employee,1.0,777-769-0642,2024-08-31 10:29:56,2024-09-01 01:59:57
174,Kaitlyn Bryant,$2b$10$8Qsejx60o.ZbfhCibrZxquKhhIWxy3Iumf30RyyrMy9gf0gcieoJO,zgreen173@mgcrew.com,Female,employee,3.0,704.520.6772,2024-03-14 04:55:38,2024-07-13 09:40:22
175,Dustin Wilkinson,$2b$10$ZUHesBD0esy5HdlKWtrmCeiNXbCCw5Iw7bmbcCoX//RylzOGQuUey,pauljones174@mgcrew.com,Female,employee,4.0,001-409-865-4070,2022-04-23 17:52:58,2022-10-24 17:27:08
176,Nancy Brady,$2b$10$kXepYtGfoFYfo4SeGMumCud8sEHHjEQ4yk.UlXioZufR712gApKUy,kevin84175@mgcrew.com,Female,employee,4.0,424-313-3167x534,2022-09-17 01:59:35,2023-04-30 22:08:49
177,Mark Sanford,$2b$10$39b1sEvKohVMor3WpwZpyuq391/arWUoHSsxKeVerZNpuBLrDwXQy,richardsonrichard176@mgcrew.com,Female,employee,7.0,(812)365-6260,2024-04-01 18:09:53,2024-04-17 06:32:51
178,Bryan Rice,$2b$10$YVIT3FJwgfDqzGvgCZ2XsuiEAKCqETE7U7hOa1Ez851GvWbzjzYBW,chadbutler177@mgcrew.com,Male,employee,4.0,650-237-6944,2023-07-14 21:02:36,2024-01-13 03:40:29
179,Carolyn Taylor,$2b$10$8K0Ih9N.c/a7rloialIPCuyN3R3BY0xrRZ7GyjeLx4ciEixIcBRAi,james00178@mgcrew.com,Female,employee,8.0,001-969-851-4546x319,2024-02-05 00:00:11,2024-07-04 20:16:34
180,Vincent Sullivan,$2b$10$Jz.InFI8DuvykNFixmDxfO.Y2W4jfGzuN/cV53KVPpjYV14cQkFAS,brenda12179@mgcrew.com,Others,employee,3.0,617.912.6573x639,2023-05-15 17:10:03,2024-08-20 00:05:42
181,Rebecca Cross,$2b$10$CqGLpshEyYcc4DcU2zhnruKsbplW2gaFsCuP0y6/xTfzTBjfp9i6i,stephanie15180@mgcrew.com,Male,employee,6.0,370.240.9646x553,2022-12-28 14:40:11,2024-09-20 17:56:44
182,Adam Carlson,$2b$10$BdjxhS08luUm7CH9T8P9qu8KvnW91kiC0BdZS.VScE3yFbD0Xj.tO,wstewart181@mgcrew.com,Female,employee,6.0,(860)395-6363x116,2022-05-21 05:26:56,2023-03-02 21:01:48
183,Michael Reyes,$2b$10$KXeLscEvR.mcsxBkUWW1WOsWR.1YuD1QEBLpBC.7zgEzf0ONS6YeG,cervantesallison182@mgcrew.com,Male,employee,6.0,001-952-500-6153x400,2022-10-27 10:47:46,2024-02-26 20:38:03
184,Mathew Lowe,$2b$10$Xg7R22htUNykKjTlfGUZ0OzOcQScP9e7zD/tP9NnNlk0PfTvwhSza,hollyroach183@mgcrew.com,Others,employee,3.0,459.468.8194,2023-04-24 14:32:00,2024-01-16 03:21:03
185,Elizabeth Chapman,$2b$10$U5jF.EOESRecaMnBKS0AN.saHcp6Ac1oKpoINcu8Dd4DwKmux44F2,carterashley184@mgcrew.com,Others,employee,7.0,(967)572-7656x234,2024-01-28 22:59:37,2024-05-09 04:51:14
186,Alexa Scott,$2b$10$S6jgGL/Yf0MnWt3qz.VueOZ/enB6qDT6y/abJVjxo/lLRYeOXvWqy,kbecker185@mgcrew.com,Others,employee,6.0,325.560.0008x195,2022-10-08 16:58:24,2023-02-11 02:00:30
187,Sara Robinson,$2b$10$AaX/HIx..R5egO0qYfFZiOT7WH5rBft7g/.y2IDIY7eIkfIrUfHtS,scott76186@mgcrew.com,Others,employee,7.0,8196749545,2022-06-26 22:14:33,2024-05-20 04:32:07
188,Jay Gonzalez,$2b$10$J3GEN7J5hJPixM63hsR6V.mKtLGC8N.T5s3ZkJWGiN/VvqQp.SC3G,joseclark187@mgcrew.com,Female,employee,7.0,204.478.2003x4305,2023-12-08 02:29:14,2024-09-01 19:07:34
189,Stacey Burch,$2b$10$YrYZEE9a0MbKpm5bYM6m5uYOZuaabJEhAza2hjdFLL.UuiPWYLoBW,sarahallen188@mgcrew.com,Male,employee,8.0,(980)711-8710x86019,2024-05-07 23:22:52,2024-09-08 20:02:32
190,Christopher Underwood,$2b$10$77tkccuAT7FMPkOHkswl3eqAoT45k5uduOqZXfpCSfDzN66z.b2lq,bnichols189@mgcrew.com,Others,employee,4.0,+1-614-660-3905x6753,2024-08-27 09:06:31,2024-09-03 05:08:50
191,Rebecca Newman,$2b$10$yxFImtZhK9jiJeqR3TRVyuqSN6swSdTWS2d4Nl5bDwmf4e1O/6zn2,shawn69190@mgcrew.com,Female,employee,1.0,532.836.6000,2022-05-19 14:46:05,2024-02-19 17:40:06
192,Kevin Meyers,$2b$10$t7bwTYVwWhS8jqh3u1k90umBxCQ5eB1boyYrUZFckXctkCy5N./Oy,stephensbenjamin191@mgcrew.com,Others,employee,2.0,+1-948-646-2868x5930,2024-09-18 15:15:47,2024-09-25 09:10:12
193,Alyssa White,$2b$10$/2ChsC3xdbKJbYnBTCr03eNs8gk1p0wCNnEgDGCL/ak0q1Ffv1sl2,unelson192@mgcrew.com,Male,employee,7.0,(486)716-1997x67007,2023-01-28 03:41:36,2023-09-25 18:06:54
194,Jeffery Washington,$2b$10$Wo2KaJyt3/8dnN1Sc.lRDeIRY0U6jDQmyrjcOxJEBNklx8s31M7Oa,joshuajohnson193@mgcrew.com,Male,employee,5.0,+1-441-791-9284x188,2022-09-03 00:11:51,2022-12-01 06:06:06
195,Whitney Harris,$2b$10$JMtXxNPAFn7iW1mFy/Id/.g14mqRCmw6wwx9iZEup9RQleHQlZbXS,norma74194@mgcrew.com,Others,employee,3.0,933.861.3490x212,2024-09-21 20:28:53,2024-10-01 02:27:40
196,Douglas Gutierrez,$2b$10$iglZ4CxYHWjNlh.04IJXmO5Rh83C4NKJKZT1e8fMrXn5.eth.O8FG,vanessa18195@mgcrew.com,Male,employee,7.0,468.827.0312x1683,2022-09-16 21:04:35,2022-10-07 01:00:29
197,Wayne Villarreal,$2b$10$wp8WoybJSxKCTH0oPfd//uzY7mWQsCABrAWOTEw.qWbpsjDuFMR52,jeffrey30196@mgcrew.com,Male,employee,3.0,503-449-5951,2022-05-26 07:56:35,2023-05-05 12:34:02
198,Louis Chan,$2b$10$G.vS1dYNyfuL.0dsJ6BxY.2z/cOmfcNrUvE9NeJ/YzXR1YeIRv.42,martinabigail197@mgcrew.com,Male,employee,6.0,314.342.1709x43070,2023-10-20 05:58:18,2024-10-03 06:34:09
199,Bryan Payne,$2b$10$Ec7k/2xW/JsR2p7giu./nuzU25SBT215T3dUG3j5Pvyyvqbvbs4vS,lmoses198@mgcrew.com,Male,employee,4.0,(399)652-0827x08303,2023-06-02 01:55:50,2024-02-18 19:25:34
200,Debbie Scott,$2b$10$MoeX8yD/IdfDyXdn64DcWOIXWBOMe6IZi8McRDtUMU4fYqRevhase,mhardy199@mgcrew.com,Others,employee,1.0,4867133651,2024-02-02 00:44:40,2024-06-07 12:34:04
201,Phillip Smith,$2b$10$30VlDqZeimeDEHI2Eomsm.Wt0eLjFmNTtII6ZAEZjNV13xnH2iusO,wriley200@mgcrew.com,Others,employee,2.0,629.920.3832,2023-10-04 16:04:11,2024-10-03 13:55:01
202,Mrs. Holly Bell,$2b$10$t0a0jmj6K9AuWahRt72.bO/lX8dL5SJcDV0CLvQbloA3JO3R1c.s6,sellersmiguel201@mgcrew.com,Others,employee,2.0,415.778.6547,2023-02-02 19:18:36,2023-05-16 12:50:24
203,Victoria Lewis,$2b$10$Jz3EagMCPY0bkS.L6/00l.c0.2nmYBC6Q.RmTS/VodOOgHOeA114K,nguyenkirk202@mgcrew.com,Others,employee,4.0,486-754-8704,2024-04-04 10:20:48,2024-07-28 16:09:13
204,Rhonda Crawford,$2b$10$No5l2tvwvOMDaDRTYW45uuiXdzlI4lQOQ46asnhGHJv4wQTd5Ni9W,matthew97203@mgcrew.com,Others,employee,6.0,2845650238,2023-04-09 10:46:34,2024-05-26 08:24:12
205,Mr. James Lawson Jr.,$2b$10$TLFH2Y5h6qUz7aYjay8/U.XQk4XKqcQ5ft9w2fqBhmpbsdcn0j6BC,robertgraham204@mgcrew.com,Female,employee,4.0,8054884713,2023-07-11 17:47:14,2023-11-28 09:51:19
206,Joseph Lewis,$2b$10$wpPaucdqyds9Yf4lIufwBuRFzBufJCNuLu6rpub0RTz51Lhl0WaWq,nreyes205@mgcrew.com,Male,employee,3.0,816.635.1488x89443,2022-06-17 14:15:58,2024-08-30 12:49:23
207,Lindsay Gross,$2b$10$Q4nFI4gCMPvC4oBwDb702eUxUGczEdN8u3V516g.Olwr0Kr9c6hVW,drichard206@mgcrew.com,Male,employee,7.0,(782)742-0774x87550,2023-03-03 08:23:21,2023-04-25 04:37:22
208,Amanda Rodriguez,$2b$10$FUcOM9CinZHgcHyN/aGOW.IKKOLHuT7nudQJuFSncad3lxJ9l4qCm,john24207@mgcrew.com,Male,employee,2.0,(863)991-6756x36026,2022-06-06 09:51:56,2024-08-24 23:54:40
209,Nicole Gallagher,$2b$10$QRxS6VLdQOOi3ELP9FnuO.17tlDNhkQJoEhvIw5g4sIXNtZ3W8p9G,imartinez208@mgcrew.com,Male,employee,2.0,001-614-805-4564,2023-02-08 00:42:35,2023-05-16 09:12:37
210,Terry Evans,$2b$10$ac5lmQPjEtCaKG9WFpLFSuJaUvKLCYQYjw0Kj.pFgyPPoRKeqQjzW,gregorysantos209@mgcrew.com,Others,employee,5.0,966.754.9537x75721,2023-06-09 04:21:57,2024-09-23 06:58:53
211,Rebecca Brown,$2b$10$tu1Ult/cPvoLkh60fGQs9OMY7FolEzFv16EtkLPN83XD/LR04gXyW,ngriffith210@mgcrew.com,Others,employee,3.0,(307)559-9554,2024-09-18 17:08:36,2024-09-28 03:18:13
212,Kathy Davis,$2b$10$j/ewBuiOazkJ..3/uHX9UeuBxRBjWEM7XqG0jeZ2ZfN8HDJDjTaQe,parkeraaron211@mgcrew.com,Female,employee,7.0,2959848609,2024-01-19 05:49:26,2024-03-03 14:36:29
213,Andrew Fernandez,$2b$10$7N9y4.9PLon0yPdFLm1wB.8MaIzsVFOwiYv87hnoIZ6N.YKlpFfPK,bryanshannon212@mgcrew.com,Male,employee,8.0,(767)946-8627,2022-08-06 04:09:43,2024-07-13 17:06:39
214,Tyler Olsen,$2b$10$Y2/TJtkJ1xpdFSGcmOFMbucexKwW8RLPxzlu2R0XVnO0.5awoPw1m,zhenry213@mgcrew.com,Female,employee,4.0,234-567-1187x60549,2023-05-24 23:15:33,2023-09-30 21:33:58
215,Ellen Soto,$2b$10$hd0W0wlWnoK1s6Kstn4jh.hmuyYLHSo3dojqFQNDfsYfGN6k1dFYi,scottmaynard214@mgcrew.com,Others,employee,6.0,683.923.1283x368,2022-05-24 22:36:09,2024-07-18 12:47:10
216,Rebecca Diaz,$2b$10$mH/QtOCckkRk5IAkSGKOieb0aqxBzyRufifxtyb7Zz8Ieu3Pu0Obq,gallagherkenneth215@mgcrew.com,Others,employee,8.0,793-752-8859,2023-05-10 21:58:27,2024-06-10 21:18:45
217,Richard Parker,$2b$10$Od9OiZE7aeVdGYhNrJaV1OXHFRZJ4b/MyKEL8urE/bPl3Xjd4EBdC,waltonerica216@mgcrew.com,Male,employee,5.0,945.266.3341,2024-05-26 15:56:21,2024-08-11 21:21:13
218,Anthony Goodman,$2b$10$inAUmGnWz1383jMxe1AqS.2bYSvLMrZTFy/YqM3hWJKG5kEidohFi,steven18217@mgcrew.com,Male,employee,6.0,001-941-211-6421x932,2023-08-17 07:44:38,2023-09-07 05:59:02
